,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon
147,147,147,12,12,13,"Nashville, Tennessee",81.17,59.23,70.68,83.51,72.96,112.48,États Unis,36.1622767,-86.7742984
148,148,148,13,13,14,"Miami, Floride",81.16,71.55,76.56,78.78,88.72,91.58,États Unis,25.7741728,-80.19362
149,149,149,14,14,15,"Denver, Colorado",80.77,54.95,68.43,77.55,73.71,140.71,États Unis,39.7392364,-104.984862
150,150,150,15,15,16,"Irvine, Californie",80.64,72.32,76.66,73.86,89.04,133.83,États Unis,33.6856969,-117.8259819
151,151,151,16,16,17,"Portland, Oregon",79.82,50.63,65.87,78.62,72.91,120.75,États Unis,45.5202471,-122.674194
152,152,152,17,17,18,"La Nouvelle-Orléans, Louisiane",79.6,44.83,62.98,77.66,79.39,97.53,États Unis,29.9759983,-90.0782127
153,153,153,18,18,19,"Raleigh, Caroline du Nord",79.17,59.26,69.66,72.11,80.55,112.07,États Unis,35.7803977,-78.6390989
154,154,154,19,19,20,"Philadelphie, Pennsylvanie",78.42,48.93,64.33,77.68,76.98,132.19,États Unis,39.9527237,-75.1635262
155,155,155,20,20,21,"Chicago, Illinois",78.32,58.11,68.66,74.06,82.37,124.87,États Unis,41.8755616,-87.6244212
156,156,156,21,21,22,"Los Angeles, Californie",78.07,74.25,76.24,74.02,86.91,118.37,États Unis,34.0536909,-118.242766
157,157,157,22,22,23,"Buffalo, New York",77.37,35.26,57.24,77.98,69.76,117.04,États Unis,42.8867166,-78.8783922
158,158,158,23,23,24,"Pittsburgh, Pennsylvanie",76.94,38.03,58.34,82.85,63.47,120.84,États Unis,40.4416941,-79.9900861
159,159,159,24,24,25,"Charlotte, Caroline du Nord",76.74,58.94,68.23,74.22,74.71,119.43,États Unis,35.2272086,-80.8430827
160,160,160,25,25,26,"Cleveland, Ohio",76.49,38.9,58.52,78.64,67.3,137.51,États Unis,41.4996574,-81.6936772
161,161,161,26,26,27,"Dallas, Texas",76.29,52.65,64.99,74.61,77.8,139.37,États Unis,32.7762719,-96.7968559
162,162,162,27,27,28,"Baltimore, Maryland",75.59,48.02,62.41,77.73,66.77,138.25,États Unis,39.2908816,-76.610759
163,163,163,28,28,29,"Tampa, Floride",75.25,58.87,67.42,69.48,77.05,130.32,États Unis,27.9477595,-82.458444
164,164,164,29,29,30,"Long Beach, Californie",75.14,59.68,67.75,76.19,80.56,124.75,États Unis,33.7690164,-118.191604
165,165,165,30,30,31,"Omaha, Nebraska",75.04,30.11,53.57,68.2,78.18,119.69,États Unis,41.2587459,-95.9383758
166,166,166,31,31,32,"Indianapolis, Indiana",74.46,37.23,56.67,73.66,73.81,136.05,États Unis,39.7683331,-86.1583502
167,167,167,32,32,33,"Birmingham, Alabama",74.2,37.39,56.61,77.59,67.07,88.06,États Unis,33.5206824,-86.8024326
168,168,168,33,33,34,"Fort Worth, Texas",74.18,42.74,59.16,76.86,62.82,128.83,États Unis,32.753177,-97.3327459
169,169,169,34,34,35,"Minneapolis, Minnesota",74.05,47.57,61.39,71.22,76.66,136.15,États Unis,44.9772995,-93.2654692
170,170,170,35,35,36,"Austin, Texas",73.36,66.24,69.95,69.6,78.86,128.84,États Unis,30.2711286,-97.7436995
171,171,171,36,36,37,"Phoenix, Arizona",73.2,48.4,61.35,68.4,77.0,143.01,États Unis,33.4484367,-112.074141
172,172,172,37,37,38,"Chattanooga, Tennessee",72.99,37.7,56.12,68.42,70.61,127.2,États Unis,35.0457219,-85.3094883
173,173,173,38,38,39,"Atlanta, Géorgie",72.94,50.87,62.39,68.46,66.77,128.16,États Unis,33.7489924,-84.3902644
174,174,174,39,39,40,"Columbus, Ohio",72.24,41.72,57.65,65.98,66.98,127.39,États Unis,39.9622601,-83.0007065
175,175,175,40,40,41,"Fort Lauderdale, Floride",72.1,62.69,67.6,68.37,81.36,124.53,États Unis,26.1223084,-80.1433786
176,176,176,41,41,42,"Detroit, Michigan",72.09,37.08,55.36,69.02,64.26,120.68,États Unis,42.3315509,-83.0466403
177,177,177,42,42,43,"Spokane, Washington",71.89,40.72,56.99,66.7,74.87,115.89,États Unis,47.6571934,-117.42351
178,178,178,43,43,44,"Las Vegas, Nevada",71.88,40.16,56.72,63.62,72.16,120.58,États Unis,36.1672559,-115.148516
179,179,179,44,44,45,"Reno, Nevada",71.8,44.83,58.91,70.86,73.42,77.55,États Unis,39.5261206,-119.8126581
180,180,180,45,45,46,Orlando Floride,71.42,50.88,61.6,68.22,76.05,139.8,États Unis,28.5421109,-81.3790304
181,181,181,46,46,47,"Colorado Springs, Colorado",71.3,38.16,55.46,66.41,77.91,136.37,États Unis,38.8339578,-104.825348
182,182,182,47,47,48,"Fresno, Californie",71.21,44.52,58.45,64.23,67.54,122.59,États Unis,36.7295295,-119.70886126075588
183,183,183,48,48,49,"Madison, Wisconsin",71.12,43.69,58.01,68.88,68.86,99.32,États Unis,43.074761,-89.3837613
184,184,184,49,49,50,"Milwaukee, Wisconsin",70.49,37.25,54.6,61.43,67.5,155.79,États Unis,43.0349931,-87.922497
185,185,185,50,50,51,"Oklahoma City, Oklahoma",69.94,37.68,54.52,71.15,54.75,95.33,États Unis,35.4729886,-97.5170536
186,186,186,51,51,52,"Boise, Idaho",69.43,44.35,57.44,63.44,67.86,113.54,États Unis,43.6166163,-116.200886
187,187,187,52,52,53,"Albuquerque, Nouveau-Mexique",69.36,42.56,56.55,66.49,67.96,157.29,États Unis,35.0841034,-106.650985
188,188,188,53,53,54,"Houston, Texas",69.16,44.44,57.35,62.38,73.2,148.73,États Unis,29.7589382,-95.3676974
189,189,189,54,54,55,"Jacksonville, Floride",69.02,37.81,54.1,74.4,66.22,149.27,États Unis,30.3321838,-81.655651
190,190,190,55,55,56,"Kansas City, Missouri",68.08,40.5,54.9,61.79,72.23,123.65,États Unis,39.100105,-94.5781416
191,191,191,56,56,57,"Tucson, Arizona",67.55,33.53,51.29,68.0,64.39,134.77,États Unis,32.2228765,-110.9748477
192,192,192,57,57,58,"Saint Louis, Missouri",67.07,34.12,51.32,66.84,64.2,104.21,États Unis,38.6319657,-90.2428756
193,193,193,58,58,59,"San Antonio, Texas",66.81,41.4,54.67,58.94,69.84,142.99,États Unis,29.4246002,-98.4951405
194,194,194,59,59,60,"Louisville, Kentucky",65.78,30.96,49.14,65.1,63.98,154.08,États Unis,38.2542376,-85.759407
195,195,195,60,60,61,"Salt Lake City, Utah",65.1,44.97,55.48,61.98,71.42,134.84,États Unis,40.7596198,-111.886797
196,196,196,61,61,62,"Memphis, Tennessee",64.34,35.57,50.59,64.34,66.0,169.98,États Unis,35.1460249,-90.0517638
197,197,197,62,62,63,"Cincinnati, Ohio",63.67,39.78,52.25,62.78,60.54,117.93,États Unis,39.1014537,-84.5124602
198,198,198,63,63,64,"Knoxville, Tennessee",60.02,33.74,47.46,56.36,57.35,146.98,États Unis,35.9603948,-83.9210261
199,199,199,0,0,1,Espoo,75.34,30.27,53.8,66.96,85.26,95.46,Finlande,60.2047672,24.6568435
200,200,200,1,1,2,Turku,68.41,19.79,45.17,58.02,77.55,100.32,Finlande,60.4517531,22.2670522
201,201,201,2,2,3,Oulu,68.38,19.81,45.17,59.43,65.84,96.23,Finlande,65.0118734,25.4716809
202,202,202,3,3,4,Helsinki,67.16,30.52,49.65,56.83,73.27,105.22,Finlande,60.1674881,24.9427473
203,203,203,4,4,5,Tampere,62.08,21.09,42.49,50.89,70.44,104.01,Finlande,61.4980214,23.7603118
204,204,204,0,0,1,Nice,75.05,27.68,52.41,68.17,81.11,79.61,France,43.7009358,7.2683912
205,205,205,1,1,2,Paris,74.29,42.79,59.24,71.63,69.08,77.59,France,48.8588897,2.3200410217200766
206,206,206,2,2,3,Lyon,72.36,23.33,48.92,68.21,66.39,94.19,France,45.7578137,4.8320114
207,207,207,3,3,4,Toulouse,67.14,21.78,45.46,64.16,67.28,103.81,France,43.6044622,1.4442469
208,208,208,4,4,5,Grenoble,65.86,18.66,43.3,63.36,59.34,91.63,France,45.1875602,5.7357819
209,209,209,5,5,6,Nantes,65.0,22.79,44.83,61.98,61.97,87.72,France,47.2186371,-1.5541362
210,210,210,6,6,7,Marseille,64.03,21.31,43.61,61.94,61.51,98.33,France,43.2961743,5.3699525
211,211,211,7,7,8,Lille,60.88,22.46,42.52,53.09,59.92,106.94,France,50.6365654,3.0635282
212,212,212,0,0,1,Athènes,58.2,15.92,38.0,44.71,54.13,43.16,Grèce,37.9839412,23.7283052
213,213,213,1,1,2,Thessalonique,54.66,12.47,34.5,41.7,51.39,41.71,Grèce,40.6403167,22.9352716
214,214,214,2,2,3,Héraklion,52.13,12.2,33.04,39.74,42.44,38.86,Grèce,35.3400127,25.1343475
215,215,215,3,3,4,Larissa,51.56,9.51,31.46,39.24,48.2,46.55,Grèce,39.6383092,22.4160706
216,216,216,0,0,1,Budapest,45.18,14.52,30.53,40.1,37.19,55.83,Hongrie,47.4979937,19.0403594
